n_samples,reference_sample_size,num_examples,peak_exact,peak_exact_ci_low,peak_exact_ci_high,peak_within_one,peak_within_one_ci_low,peak_within_one_ci_high,jump_exact,jump_exact_ci_low,jump_exact_ci_high,jump_within_one,jump_within_one_ci_low,jump_within_one_ci_high,jump_agreement_min_reference_magnitude,jump_eligible_examples,jump_eligible_fraction,jump_exact_ref_jump_ge_threshold,jump_exact_ref_jump_ge_threshold_ci_low,jump_exact_ref_jump_ge_threshold_ci_high,jump_within_one_ref_jump_ge_threshold,jump_within_one_ref_jump_ge_threshold_ci_low,jump_within_one_ref_jump_ge_threshold_ci_high
10,100,100,0.18559999763965607,0.1440000083297491,0.22841000705957412,0.39319995045661926,0.3352000117301941,0.4540300533175468,0.3992000222206116,0.3483999967575073,0.44639998823404314,0.5416000485420227,0.49039001762866974,0.5904199808835983,0.3,50,0.5,0.586400032043457,0.5255999565124512,0.6447999492287636,0.7135999798774719,0.656800028681755,0.768820022046566
25,100,100,0.3755999803543091,0.32438997775316236,0.42521001398563385,0.6467999815940857,0.592799961566925,0.7024300262331963,0.5899999737739563,0.5367899686098099,0.6476501107215881,0.6848000884056091,0.6303699448704719,0.7344300299882889,0.3,50,0.5,0.8199999928474426,0.7743999943137169,0.8624200522899628,0.8952000141143799,0.856800077855587,0.9296000018715859
50,100,100,0.556399941444397,0.5072000026702881,0.6060000061988831,0.7979999780654907,0.7479899689555168,0.842009948194027,0.7191999554634094,0.6695900097489357,0.7723999619483948,0.7835999131202698,0.7343999743461609,0.8319999590516091,0.3,50,0.5,0.930400013923645,0.8984000653028488,0.9584200099110604,0.9720000624656677,0.9503999933600425,0.9880000352859497
100,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,50,0.5,1.0,1.0,1.0,1.0,1.0,1.0
