tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
0.1,positive,98056,66405,0.6772150607815942,1318411,168146,0.12753686066029485,0.20137411597761498,0.20137411597761498,0.4700414186899038,0.6714155346675189,0.5679346912834083
0.2,positive,98056,39352,0.4013216937260341,1318411,59958,0.045477472502884156,0.30724565228352996,0.30724565228352996,0.41172534962741586,0.7189710019109458,0.6071632128940628
0.3,positive,98056,20166,0.20565799135188056,1318411,23472,0.017803249517790734,0.4093076433664865,0.4093076433664865,0.3617158983952046,0.7710235417616911,0.6520898370235441
0.4,positive,98056,8625,0.08795994125805662,1318411,9020,0.006841569131325513,0.5157384465030265,0.5157384465030265,0.30261832708411485,0.8183567735871414,0.6939565949119066
0.5,positive,98056,3734,0.038080280655951704,1318411,3775,0.0028632952850059655,0.6103969140763427,0.6103969140763427,0.2387447026332531,0.8491416167095959,0.7140870969484137
0.6,positive,98056,1595,0.016266215223953658,1318411,1601,0.0012143405963694173,0.6963191971902003,0.6963191971902003,0.1896296414856833,0.8859488386758836,0.7473408428597281
0.7,positive,98056,604,0.00615974545157869,1318411,605,0.0004588857344181746,0.7788810396698826,0.7788810396698826,0.14336025235370028,0.9222412920235828,0.7871107507519759
