Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
0.1,0.7152749449294281,-0.20982551526929952,0.5567166213730975,0.3468911061037981,70137,167554
0.2,0.40955168475157055,-0.32505364699233685,0.6156655266977,0.2906118797053632,40159,61865
0.3,0.22733947948111283,-0.4342071253573189,0.6726668061395545,0.23845968078223556,22292,26708
0.4,0.11752467977482255,-0.5396713331857724,0.7273385324075178,0.18766719922174546,11524,12318
0.5,0.06236232357020478,-0.6266716210986278,0.7724512169777902,0.1457795958791622,6115,6304
0.6,0.029666721057354982,-0.7159268913256293,0.8253787040298397,0.1094518127042104,2909,2951
0.7,0.013920616790405483,-0.7951045810028591,0.8697420309477676,0.0746374499449084,1365,1370
