bundle_dir,path,source_kind,error
/work/users/s/m/smerrill/deception2/DatasetMain/bs/DeepSeek-R1-Distill-Qwen-14B,/work/users/s/m/smerrill/deception2/DatasetMain/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_6_game_133_turn_7_state_1317_sample_0.json,localization_json,JSONDecodeError('Extra data: line 21817 column 2 (char 22046879)')
/work/users/s/m/smerrill/deception2/DatasetMain/gridworld/DeepSeek-R1-Distill-Qwen-14B,/work/users/s/m/smerrill/deception2/DatasetMain/gridworld/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-25_game_188_turn_2_state_897_sample_0.json,localization_json,JSONDecodeError('Unterminated string starting at: line 711 column 24 (char 751800)')
