Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
0.1,0.6772150607815942,0.20137411597761498,0.4700414186899038,0.6714155346675189,66405,168146
0.2,0.4013216937260341,0.30724565228352996,0.41172534962741586,0.7189710019109458,39352,59958
0.3,0.20565799135188056,0.4093076433664865,0.3617158983952046,0.7710235417616911,20166,23472
0.4,0.08795994125805662,0.5157384465030265,0.30261832708411485,0.8183567735871414,8625,9020
0.5,0.038080280655951704,0.6103969140763427,0.2387447026332531,0.8491416167095959,3734,3775
0.6,0.016266215223953658,0.6963191971902003,0.1896296414856833,0.8859488386758836,1595,1601
0.7,0.00615974545157869,0.7788810396698826,0.14336025235370028,0.9222412920235828,604,605
