Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
Qwen-14B,CarSales,0.5,0.030824659727782224,0.6181631132201955,0.2775662846809467,0.8957293979011423,154,156
Qwen-14B,CarSales,0.6,0.015812650120096076,0.6902821058034838,0.21790292798017646,0.9081850337836604,79,80
Qwen-14B,CarSales,0.7,0.006204963971176942,0.7679038474828499,0.16680668625832776,0.9347105337411779,31,31
Qwen-14B,Gridworld,0.1,0.5973194638927786,0.2028723360571593,0.43476043645920043,0.6376327725163597,2986,10934
Qwen-14B,Gridworld,0.2,0.45509101820364073,0.2983118998715004,0.4117755203221596,0.71008742019366,2275,4034
Qwen-14B,Gridworld,0.3,0.248249649929986,0.39545815641692916,0.3915838926174497,0.7870420490343789,1241,1490
Qwen-14B,Gridworld,0.4,0.09141828365673135,0.5066666666666666,0.35100000000000003,0.8576666666666667,457,480
Qwen-14B,Gridworld,0.5,0.03120624124824965,0.617375,0.26175000000000004,0.8791250000000002,156,160
Qwen-14B,Gridworld,0.6,0.013202640528105622,0.7074626865671642,0.2134328358208955,0.9208955223880596,66,67
Qwen-14B,Gridworld,0.7,0.004800960192038408,0.8175,0.15583333333333335,0.9733333333333333,24,24
Qwen-14B,Interview,0.1,0.3633453381352541,0.17874598193981892,0.5274117612564632,0.7061577431962821,1816,2620
Qwen-14B,Interview,0.2,0.12705082032813125,0.274148481634172,0.4489829398235756,0.7231314214577476,635,701
Qwen-14B,Interview,0.3,0.03861544617847139,0.3660472940003633,0.4180209952001105,0.7840682892004739,193,197
Qwen-14B,Interview,0.4,0.0070028011204481795,0.4752769679300292,0.3521516034985423,0.8274285714285714,35,35
Qwen-14B,Interview,0.5,0.0014005602240896359,0.5742857142857144,0.26571428571428574,0.8400000000000001,7,7
Qwen-14B,Interview,0.6,0.00040016006402561027,0.63,0.3,0.9299999999999999,2,2
Qwen-14B,Interview,0.7,0.0,,,,0,0
