tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
0.1,negative,98056,70137,0.7152749449294281,1318411,167554,0.12708783528050055,-0.20982551526929952,0.20982551526929952,0.5567166213730975,0.3468911061037981,0.5350385962054439
0.2,negative,98056,40159,0.40955168475157055,1318411,61865,0.046923910677322926,-0.32505364699233685,0.32505364699233685,0.6156655266977,0.2906118797053632,0.5786955915013093
0.3,negative,98056,22292,0.22733947948111283,1318411,26708,0.020257719330315054,-0.4342071253573189,0.4342071253573189,0.6726668061395545,0.23845968078223556,0.6128527358927868
0.4,negative,98056,11524,0.11752467977482255,1318411,12318,0.00934306525051748,-0.5396713331857724,0.5396713331857724,0.7273385324075178,0.18766719922174546,0.635849430599581
0.5,negative,98056,6115,0.06236232357020478,1318411,6304,0.004781513503755657,-0.6266716210986278,0.6266716210986278,0.7724512169777902,0.1457795958791622,0.6495954181612447
0.6,negative,98056,2909,0.029666721057354982,1318411,2951,0.0022383004996165837,-0.7159268913256293,0.7159268913256293,0.8253787040298397,0.1094518127042104,0.6504240560415437
0.7,negative,98056,1365,0.013920616790405483,1318411,1370,0.001039129679591569,-0.7951045810028591,0.7951045810028591,0.8697420309477676,0.0746374499449084,0.6471805475546352
