Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
Qwen-7B,AdvisorAudit,0.1,0.7454,-0.18433792423333636,0.43830040041398494,0.25396247618064854,3727,6793
Qwen-7B,AdvisorAudit,0.2,0.3036,-0.29047723013961807,0.5441258170556109,0.25364858691599274,1518,1916
Qwen-7B,AdvisorAudit,0.3,0.1128,-0.392950923845404,0.6088344935853567,0.2158835697399527,564,618
Qwen-7B,AdvisorAudit,0.4,0.0376,-0.5025126262626262,0.6713378684807255,0.1688252422180994,188,198
Qwen-7B,AdvisorAudit,0.5,0.0134,-0.613895065488882,0.7472433749619249,0.133348309473043,67,67
Qwen-7B,AdvisorAudit,0.6,0.0058,-0.6981843771991556,0.7913441238564392,0.0931597466572836,29,29
Qwen-7B,AdvisorAudit,0.7,0.0024,-0.7679591836734695,0.8729591836734693,0.10499999999999998,12,12
Qwen-7B,BS,0.1,0.7896,-0.1802502723093455,0.4605775766112211,0.2803273043018756,3948,8176
Qwen-7B,BS,0.2,0.3534,-0.28592940598767586,0.510277317096474,0.22434791110879795,1767,2237
Qwen-7B,BS,0.3,0.1218,-0.3962866161179631,0.5644475933714491,0.16816097725348603,609,659
Qwen-7B,BS,0.4,0.0458,-0.4996073879279368,0.6191605913936785,0.11955320346574161,229,230
Qwen-7B,BS,0.5,0.0174,-0.5853093930643284,0.6689220789242434,0.08361268585991487,87,87
Qwen-7B,BS,0.6,0.0062,-0.6692993574821738,0.7473735225954834,0.07807416511330965,31,31
Qwen-7B,BS,0.7,0.0014,-0.7602759699148319,0.7936093032481651,0.03333333333333334,7,7
Qwen-7B,CarSales,0.1,0.8564,-0.20479783229902346,0.4980061449421194,0.293208312643096,4282,9572
Qwen-7B,CarSales,0.2,0.5372,-0.31826880599355706,0.5414633627457398,0.2231945567521828,2686,3453
Qwen-7B,CarSales,0.3,0.277,-0.41828095068584425,0.5965020718082608,0.17822112112241648,1385,1487
Qwen-7B,CarSales,0.4,0.1318,-0.5108105191477633,0.6538613573236274,0.14305083817586406,659,665
Qwen-7B,CarSales,0.5,0.057,-0.5970120027010554,0.7236704980091314,0.12665849530807594,285,285
Qwen-7B,CarSales,0.6,0.0212,-0.6882763763799811,0.7900384128494204,0.10176203646943942,106,106
Qwen-7B,CarSales,0.7,0.0076,-0.7608613971605244,0.8379175771369566,0.07705617997643208,38,38
Qwen-7B,Gridworld,0.1,0.4294,-0.1756863737006879,0.44622395114111113,0.2705375774404232,2147,3362
Qwen-7B,Gridworld,0.2,0.1456,-0.2885364106567653,0.567154914544267,0.27861850388750176,728,851
Qwen-7B,Gridworld,0.3,0.0516,-0.39666814984383914,0.6372912342626627,0.24062308441882344,258,268
Qwen-7B,Gridworld,0.4,0.0182,-0.4992811663062778,0.7201810151217886,0.2208998488155108,91,92
Qwen-7B,Gridworld,0.5,0.007,-0.5911460864718442,0.8020528785894308,0.21090679211758645,35,36
Qwen-7B,Gridworld,0.6,0.0028,-0.6685334471902948,0.8571206159729113,0.18858716878261658,14,14
Qwen-7B,Gridworld,0.7,0.001,-0.7406487648917139,0.8489820982250473,0.10833333333333332,5,5
Qwen-7B,Interview,0.1,0.8517703540708141,-0.1969188646832958,0.4795976349683872,0.28267877028509153,4258,9174
Qwen-7B,Interview,0.2,0.45809161832366474,-0.31048986576094656,0.542532087668819,0.2320422219078723,2290,3011
Qwen-7B,Interview,0.3,0.21164232846569314,-0.4182882983427662,0.6124802517101912,0.19419195336742487,1058,1171
Qwen-7B,Interview,0.4,0.09401880376075215,-0.527102823130838,0.687448594495857,0.160345771365019,470,477
Qwen-7B,Interview,0.5,0.04400880176035207,-0.6202348168354412,0.7475453929346118,0.12731057609917018,220,221
Qwen-7B,Interview,0.6,0.01880376075215043,-0.7151099005816975,0.821781406185534,0.10667150560383641,94,95
Qwen-7B,Interview,0.7,0.009001800360072015,-0.7908932625221288,0.8664779987735314,0.07558473625140293,45,45
Qwen-14B,AdvisorAudit,0.1,0.8342,-0.21591989418646976,0.5801925593203789,0.36427266513390916,4171,11495
Qwen-14B,AdvisorAudit,0.2,0.5632,-0.32058411712511087,0.608521916592724,0.2879377994676131,2816,4600
Qwen-14B,AdvisorAudit,0.3,0.338,-0.41827383029420856,0.6459061045033548,0.2276322742091463,1690,2047
