tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
0.1,positive,98041,66402,0.6772880733570649,1318187,168142,0.12755549857493664,0.20137545708491664,0.20137545708491664,0.4700516491241485,0.6714271062090651,0.5679361339455539
0.2,positive,98041,39351,0.40137289501331075,1318187,59957,0.04548444188874568,0.3072471074205828,0.3072471074205828,0.4117315494931467,0.7189786569137294,0.6071655561825232
0.3,positive,98041,20166,0.20568945645189257,1318187,23472,0.017806274830505838,0.4093076433664865,0.4093076433664865,0.3617158983952046,0.7710235417616911,0.6520898370235441
0.4,positive,98041,8625,0.08797339888414031,1318187,9020,0.006842731721675301,0.5157384465030265,0.5157384465030265,0.30261832708411485,0.8183567735871414,0.6939565949119066
0.5,positive,98041,3734,0.03808610683285564,1318187,3775,0.002863781845823089,0.6103969140763427,0.6103969140763427,0.2387447026332531,0.8491416167095959,0.7140870969484137
0.6,positive,98041,1595,0.016268703909588844,1318187,1601,0.0012145469497119908,0.6963191971902003,0.6963191971902003,0.1896296414856833,0.8859488386758836,0.7473408428597281
0.7,positive,98041,604,0.006160687875480666,1318187,605,0.000458963713039197,0.7788810396698826,0.7788810396698826,0.14336025235370028,0.9222412920235828,0.7871107507519759
