model,tasks_total,untied_tasks_used,tied_tasks_dropped,worker_unclear_rate,worker_unclear_low,worker_unclear_high,worker_exact_match,worker_exact_low,worker_exact_high,worker_within_one,worker_within1_low,worker_within1_high,worker_mean_abs_distance,worker_distance_low,worker_distance_high,pairwise_agreement,pairwise_low,pairwise_high,majority_unclear_rate,majority_unclear_low,majority_unclear_high,majority_exact_match,majority_exact_low,majority_exact_high,majority_within_one,majority_within1_low,majority_within1_high,majority_mean_abs_distance,majority_distance_low,majority_distance_high
Qwen-7B,25,25,0,0.416000,0.328000,0.504000,0.767123,0.656237,0.868437,0.808219,0.698095,0.900000,0.780822,0.410941,1.206349,0.424000,0.332000,0.524000,0.520000,0.320000,0.720000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Qwen-14B,25,24,1,0.296000,0.192000,0.408000,0.784091,0.691486,0.862069,0.829545,0.736264,0.910256,1.170455,0.622184,1.811127,0.488000,0.400000,0.584000,0.291667,0.120000,0.480000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Llama-8B,25,25,0,0.240000,0.152000,0.328000,0.884211,0.829787,0.938776,0.915789,0.870968,0.960542,0.494737,0.212465,0.801889,0.524000,0.444000,0.616000,0.120000,0.000000,0.240000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
GPT-OSS-20B,25,21,4,0.416000,0.296000,0.536000,0.630137,0.448276,0.800000,0.726027,0.558814,0.864865,1.452055,0.720930,2.371471,0.520000,0.408000,0.636000,0.428571,0.217391,0.650000,0.833333,0.583333,1.000000,0.916667,0.727273,1.000000,0.666667,0.000000,2.000000
