model,pair_role,tasks_total,untied_tasks_used,tied_tasks_dropped,worker_commitment_rate,worker_commitment_low,worker_commitment_high,worker_unclear_rate,worker_unclear_low,worker_unclear_high,worker_action_accuracy,worker_action_accuracy_low,worker_action_accuracy_high,majority_commitment_rate,majority_commitment_low,majority_commitment_high,majority_unclear_rate,majority_unclear_low,majority_unclear_high,majority_action_accuracy,majority_action_accuracy_low,majority_action_accuracy_high
Qwen-7B,Pre-spike,13,11,2,0.415385,0.246154,0.584615,0.584615,0.400000,0.753846,0.148148,0.040000,0.277778,0.272727,0.000000,0.555556,0.727273,0.454545,1.000000,0.000000,0.000000,0.000000
Qwen-7B,Spike,13,12,1,0.876923,0.800000,0.938462,0.123077,0.061538,0.184615,0.912281,0.821429,0.982759,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
Qwen-14B,Pre-spike,13,12,1,0.276923,0.153462,0.415769,0.723077,0.584615,0.861538,0.055556,0.000000,0.166667,0.166667,0.000000,0.416667,0.833333,0.600000,1.000000,0.000000,0.000000,0.000000
Qwen-14B,Spike,13,12,1,0.646154,0.522692,0.769231,0.353846,0.230769,0.476923,0.904762,0.815789,0.977273,0.666667,0.384615,0.916667,0.333333,0.083333,0.615385,1.000000,1.000000,1.000000
Llama-8B,Pre-spike,12,11,1,0.483333,0.300000,0.650000,0.516667,0.350000,0.683333,0.206897,0.068966,0.392857,0.545455,0.250000,0.833333,0.454545,0.166667,0.750000,0.000000,0.000000,0.000000
Llama-8B,Spike,12,12,0,0.650000,0.533333,0.766667,0.350000,0.233333,0.466667,0.948718,0.853659,1.000000,0.833333,0.583333,1.000000,0.166667,0.000000,0.416667,1.000000,1.000000,1.000000
GPT-OSS-20B,Pre-spike,12,12,0,0.200000,0.083333,0.350000,0.800000,0.666667,0.916667,0.416667,0.095238,0.833333,0.083333,0.000000,0.250000,0.916667,0.750000,1.000000,0.000000,0.000000,0.000000
GPT-OSS-20B,Spike,12,11,1,0.550000,0.433333,0.666667,0.450000,0.333333,0.566667,0.909091,0.814815,1.000000,0.636364,0.333333,0.909091,0.363636,0.090909,0.666667,1.000000,1.000000,1.000000
