model_display,deceptive_examples,deceptive_commitment_examples,deceptive_commitment_example_fraction,deceptive_commitment_example_location_mean,deceptive_commitment_example_location_se,deceptive_commitment_example_location_ci_lower,deceptive_commitment_example_location_ci_upper,truthful_examples,truthful_commitment_examples,truthful_commitment_example_fraction,truthful_commitment_example_location_mean,truthful_commitment_example_location_se,truthful_commitment_example_location_ci_lower,truthful_commitment_example_location_ci_upper
GPT-OSS-20B,12500,2001,0.16008,0.5734908454174368,0.006421262367450427,0.5612065929123871,0.5857856875907356,12500,8876,0.71008,0.5245973722987622,0.002902365115556529,0.5186557017942203,0.5305900421893143
Llama-8B,12500,5069,0.40552,0.583973370674786,0.003948353613850495,0.5767255260806293,0.5917585464716205,12500,4267,0.34136,0.667678105698487,0.004084971402609086,0.6600104435278962,0.6755857895436763
Qwen-7B,12508,7275,0.5816277582347298,0.6647894049064479,0.0026483586906409537,0.6595248532749212,0.6700351011457839,12492,2652,0.21229586935638808,0.6700543603878389,0.004086847183044748,0.6621739788523577,0.6781990669080202
Qwen-14B,12499,3260,0.26082086566925355,0.65671878254141,0.004782164002984295,0.6472560614217809,0.6657350324905906,12499,4568,0.3654692375390031,0.6588216705289187,0.0035810869772382532,0.6518295114413962,0.6660576974442894
